"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Mirs Bay","MM1","1991-01-29","1","Surface Water","2","2.5","0.03","0.6","0.097","0.01","0.1","109","8.6","80","4.1","8.2","17.3","32.5"
"Mirs Bay","MM1","1991-01-29","1","Middle Water","2.1","1","0.03","0.78","0.11","0.01","0.11","114","9","270","3.8","8.2","17.3","32.5"
"Mirs Bay","MM1","1991-01-29","1","Bottom Water","2","1","0.03","0.69","0.09","0.005","0.1","103","8.1","250","3.7","8.2","17","32.6"
"Mirs Bay","MM1","1991-02-28","1","Surface Water","2.1","2","0.05","1.43","0.016","0.021","0.05","152","12.9","3","3.7","8.2","18.3","32.3"
"Mirs Bay","MM1","1991-02-28","1","Middle Water","1.5","16","0.05","1.42","0.068","0.012","0.09","106","9.1","4","10","8.1","18.1","32.4"
"Mirs Bay","MM1","1991-02-28","1","Bottom Water","1.8","2","0.06","1.43","0.09","0.01","0.12","97","8.3","1","6","8.2","17.7","32.7"
"Mirs Bay","MM1","1991-03-26","1","Surface Water","1.3","0.5","0.06","0.81","0.15","0.028","0.19","98","7.7","8","3","8.2","21.5","32.1"
"Mirs Bay","MM1","1991-03-26","1","Middle Water","0.7","<0.5","0.04","0.62","0.066","0.016","0.09","88","7.1","2","3.5","8.2","20.7","32.2"
"Mirs Bay","MM1","1991-03-26","1","Bottom Water","0.6","7.5","0.05","0.59","0.082","0.015","0.11","68","5.6","1","8.2","8.1","19.5","32.7"
"Mirs Bay","MM1","1991-05-09","1","Surface Water","2.7","2","0.08","0.79","0.295","0.043","0.36","100","7.4","14","3.1","8","24.4","32"
"Mirs Bay","MM1","1991-05-09","1","Middle Water","0.7","2.5","0.04","0.43","0.085","0.011","0.09","102","7.5","9","2.8","8.1","24.2","32.7"
"Mirs Bay","MM1","1991-05-09","1","Bottom Water","0.9","2","0.04","0.37","0.061","0.007","0.07","93","7","10","3.3","8.1","23.5","32.9"
"Mirs Bay","MM1","1991-07-17","1","Surface Water","5","5","0.09","0.53","0.489","0.008","0.5","142","9.4","2","4.6","8.5","27.7","30.1"
"Mirs Bay","MM1","1991-07-17","1","Middle Water","3.3","3.5","0.08","0.61","0.475","0.006","0.48","76","5.1","4","3.5","8.5","26.5","30.7"
"Mirs Bay","MM1","1991-07-17","1","Bottom Water","1.6","1.5","0.07","0.63","0.551","0.007","0.56","65","4.4","5","2.4","8.3","26.6","30.8"
"Mirs Bay","MM1","1991-09-12","1","Surface Water","1.8","2.5","0.18","0.29","<0.005","0.02","0.01","149","9.9","1","3.1","8.3","27.6","30.9"
"Mirs Bay","MM1","1991-09-12","1","Middle Water","0.8","1","0.12","0.23","<0.005","0.009","0.02","105","7.1","1","1.5","8.2","26.2","31.4"
"Mirs Bay","MM1","1991-09-12","1","Bottom Water","0.5","16","0.19","0.36","0.05","0.027","0.09","55","3.8","3","9.6","8","25.3","31.5"
"Mirs Bay","MM1","1991-11-07","1","Surface Water","2","3","0.12","0.54","0.144","0.031","0.17","119","8.8","110","2.2","8.1","24.3","31.8"
"Mirs Bay","MM1","1991-11-07","1","Middle Water","0.7","9.5","0.13","0.75","0.087","0.012","0.16","100","7.5","70","5.9","8.1","23.6","33"
"Mirs Bay","MM1","1991-11-07","1","Bottom Water","1","6","0.12","0.63","0.107","0.015","0.12","89","6.7","320","4.2","8.1","23.5","33"
"Mirs Bay","MM1","1992-01-15","1","Surface Water","1.8","2","0.2","0.34","0.208","0.054","0.29","95","8.4","6","7.9","8.1","11.4","31.8"
"Mirs Bay","MM1","1992-01-15","1","Middle Water","1.8","1.5","0.1","0.34","0.178","0.011","0.23","92","8.2","68","7","8.1","11.1","31.7"
"Mirs Bay","MM1","1992-01-15","1","Bottom Water","1.4","3.5","0.1","0.36","0.161","0.006","0.22","86","7.6","68","7.2","8.1","11.1","31.7"
"Mirs Bay","MM1","1992-05-26","1","Surface Water","5.2","1.5","0.13","0.51","0.113","0.015","0.12","138","9.1","21","1.4","8.5","26.7","N/A"
"Mirs Bay","MM1","1992-05-26","1","Middle Water","2.8","2","0.05","0.42","0.065","0.008","0.07","115","7.8","34","1","8.4","25.1","N/A"
"Mirs Bay","MM1","1992-05-26","1","Bottom Water","1.5","4.5","0.05","0.43","0.075","0.005","0.09","40","3","3","2.7","7.9","24.1","N/A"
"Mirs Bay","MM1","1992-07-09","1","Surface Water","1.6","2","0.11","0.18","0.083","0.02","0.09","123","8.5","3","2.1","8.1","27.9","20.7"
"Mirs Bay","MM1","1992-07-09","1","Middle Water","2","2.5","0.11","0.2","0.097","0.026","0.1","109","7.5","4","1.8","8.2","27.2","20.9"
"Mirs Bay","MM1","1992-07-09","1","Bottom Water","1.8","4","0.1","0.3","0.087","0.021","0.09","29","2.1","50","2.5","8.1","26.3","21.9"
"Mirs Bay","MM1","1992-09-10","1","Surface Water","3.4","1","0.04","0.27","0.086","0.032","0.11","143","9.4","1","3","8.5","28.5","30.4"
"Mirs Bay","MM1","1992-09-10","1","Middle Water","2.7","4.5","0.09","0.22","0.054","0.031","0.07","116","7.7","6","3.1","8.2","28","31.7"
"Mirs Bay","MM1","1992-09-10","1","Bottom Water","1.5","1.5","0.04","0.11","0.035","0.019","0.05","74","4.9","2","1.2","8.1","27.7","31.7"
"Mirs Bay","MM1","1992-11-19","1","Surface Water","3.9","2.5","0.17","0.72","0.131","0.035","0.16","118","8.5","45","3.5","8.2","22.5","32.9"
"Mirs Bay","MM1","1992-11-19","1","Middle Water","2","3","0.17","0.64","0.069","0.031","0.11","106","7.5","190","3.9","8.1","22.1","32.9"
"Mirs Bay","MM1","1992-11-19","1","Bottom Water","1.5","2.5","0.14","0.6","0.053","0.022","0.09","87","6.4","80","3.3","8.1","21.7","32.8"
"Mirs Bay","MM1","1993-01-14","1","Surface Water","3.8","3.5","0.15","1.12","0.375","0.057","0.39","128","9.6","700","5.1","8.2","19.9","32.7"
"Mirs Bay","MM1","1993-01-14","1","Middle Water","3.6","3","0.13","0.86","0.249","0.032","0.26","97","7.3","500","5.1","8.2","19.6","32.7"
"Mirs Bay","MM1","1993-01-14","1","Bottom Water","1.3","2.5","0.16","0.61","0.172","0.028","0.19","74","5.6","31","3.6","8.2","19.5","32.3"
"Mirs Bay","MM1","1993-03-19","1","Surface Water","1.5","13","0.07","0.66","0.283","0.034","0.36","85","6.5","400","3.9","8","18.5","32.9"
"Mirs Bay","MM1","1993-03-19","1","Middle Water","2","1.5","0.06","0.61","0.256","0.034","0.31","82","6.3","260","5.3","8","18.6","33"
"Mirs Bay","MM1","1993-03-19","1","Bottom Water","0.8","20","0.06","0.27","0.064","0.017","0.09","80","6.1","230","7","8","18.8","33.6"
"Mirs Bay","MM1","1993-05-18","1","Surface Water","2.4","6","0.24","0.45","0.072","0.014","0.22","104","7","6","3","8.2","28.7","30.5"
"Mirs Bay","MM1","1993-05-18","1","Middle Water","1.6","12","0.22","0.36","0.025","0.011","0.21","93","6.6","35","15.2","8.1","26.2","32.2"
"Mirs Bay","MM1","1993-05-18","1","Bottom Water","0.9","8.5","0.19","0.33","0.02","0.027","0.2","139","10.2","4","21.4","7.8","24.4","32.2"
"Mirs Bay","MM1","1993-07-19","1","Surface Water","2.3","3","0.2","0.56","0.26","0.042","0.29","102","6.7","170","5.3","8.4","30.1","27.1"
"Mirs Bay","MM1","1993-07-19","1","Middle Water","1.7","7","0.06","0.38","0.203","0.036","0.22","95","6.4","400","4.8","8.4","28.4","28.8"
"Mirs Bay","MM1","1993-07-19","1","Bottom Water","1.4","3.5","0.06","0.52","0.185","0.035","0.29","30","2.1","1400","77.3","8","25.6","33.3"
"Mirs Bay","MM1","1993-09-08","1","Surface Water","0.2","3","0.07","0.18","0.047","0.02","0.05","129","8.2","2","2.7","8.6","30.1","30.3"
"Mirs Bay","MM1","1993-09-08","1","Middle Water","0.2","3","0.05","0.19","0.052","0.02","0.06","116","7.4","3","2.1","8.5","29.6","30.9"
"Mirs Bay","MM1","1993-09-08","1","Bottom Water","<0.1","1.5","0.05","0.18","0.057","0.055","0.06","111","7.2","14","2.1","8.4","29.3","31.1"
"Mirs Bay","MM1","1993-11-30","1","Surface Water","1.2","4.3","0.06","0.73","0.064","0.021","0.09","116","8.5","90","2.9","8.2","21.2","31.8"
"Mirs Bay","MM1","1993-11-30","1","Middle Water","0.9","5.6","0.04","0.38","<0.005","0.016","0.02","118","8.7","15","2.8","8.2","20.8","32.4"
"Mirs Bay","MM1","1993-11-30","1","Bottom Water","0.5","11","0.04","0.8","<0.005","0.013","0.01","111","8.2","20","3.3","8.3","20.8","32.5"
"Mirs Bay","MM1","1994-01-27","1","Surface Water","5.5","10","0.07","0.98","0.084","0.018","0.1","152","12.2","50","2.7","8.8","16.7","31"
"Mirs Bay","MM1","1994-01-27","1","Bottom Water","5.7","3.3","0.09","0.75","0.117","0.021","0.13","156","12.9","550","2.3","8.7","16.5","27.6"
"Mirs Bay","MM1","1994-03-21","1","Surface Water","3.4","3","0.04","0.74","0.113","0.015","0.19","117","9.2","440","3.9","8.5","17.5","32.4"
"Mirs Bay","MM1","1994-03-21","1","Middle Water","1.6","2.5","0.03","0.5","0.071","0.012","0.1","116","9.1","350","3.5","8.5","17.5","32.5"
"Mirs Bay","MM1","1994-03-21","1","Bottom Water","0.9","3.1","0.03","0.34","0.057","0.012","0.07","110","8.7","70","3.9","8.5","17.3","32.5"
"Mirs Bay","MM1","1994-05-16","1","Surface Water","1.1","1.9","0.07","0.17","0.043","0.009","0.05","94","6.1","2","2.5","8.4","28.4","31.8"
"Mirs Bay","MM1","1994-05-16","1","Middle Water","1.2","2.9","0.08","0.16","0.047","0.011","0.05","92","6.2","7","2.1","8.4","26.9","31.9"
"Mirs Bay","MM1","1994-05-16","1","Bottom Water","1.3","6.9","0.09","0.15","0.061","0.017","0.07","44","3.1","2","5.6","8.1","23.6","33.2"
"Mirs Bay","MM1","1994-07-29","1","Surface Water","1.5","3","0.06","0.56","0.02","0.022","0.09","114","8.1","510","3.8","8.8","29.3","13.2"
"Mirs Bay","MM1","1994-07-29","1","Middle Water","1.4","2.4","0.07","0.47","0.021","0.021","0.08","107","7.6","1800","3.6","8.6","28.9","15.4"
"Mirs Bay","MM1","1994-07-29","1","Bottom Water","1.2","3.3","0.07","0.38","0.021","0.024","0.1","91","6.3","1500","4.8","8.5","28.5","20.4"
"Mirs Bay","MM1","1994-09-26","1","Surface Water","3.1","2.7","0.07","0.48","0.092","0.043","0.1","107","7","19","3.4","8.4","28.9","28"
"Mirs Bay","MM1","1994-09-26","1","Middle Water","1.6","2.1","0.05","0.3","0.102","0.029","0.11","108","7","39","2.5","8.4","28.6","29.8"
