"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Western Buffer","WM1","1988-01-21","1","Surface Water","1.1","7","0.03","0.41","0.037","0.015","0.09","3.2","91","7.1","14","4","8.3","18","32.4"
"Western Buffer","WM1","1988-01-21","1","Middle Water","0.9","14","0.1","0.5","0.035","0.01","0.09","2.9","93","7.3","50","2.8","8.3","17.9","32.4"
"Western Buffer","WM1","1988-01-21","1","Bottom Water","0.7","19","0.02","0.43","0.03","0.015","0.08","3.6","90","7.2","62","9","8.2","17.8","32.5"
"Western Buffer","WM1","1988-02-22","1","Surface Water","0.8","4","0.03","0.47","0.02","0.006","0.07","2.7","91","7.4","220","5.5","8.1","16","32.7"
"Western Buffer","WM1","1988-02-22","1","Middle Water","0.6","36","0.03","0.63","0.017","0.01","0.07","1","90","7.3","320","5","8.1","15.9","32.8"
"Western Buffer","WM1","1988-02-22","1","Bottom Water","0.6","11","0.04","0.53","0.024","0.007","0.08","1.5","89","7.2","310","6","8.1","15.9","32.7"
"Western Buffer","WM1","1988-03-21","1","Surface Water","1.1","13","0.06","0.61","0.061","0.021","0.15","1.9","89","7.2","40","3.4","8","16.3","31.9"
"Western Buffer","WM1","1988-03-21","1","Middle Water","1.2","4.5","0.05","0.48","0.061","0.012","0.14","3.8","85","6.9","390","3.2","8","16.1","31.9"
"Western Buffer","WM1","1988-03-21","1","Bottom Water","0.9","9.5","0.05","0.53","0.045","0.011","0.11","2.1","89","7.3","230","18","8.1","16","32"
"Western Buffer","WM1","1988-04-22","1","Surface Water","1","1","0.05","0.81","0.057","0.021","0.23","1.1","93","7","170","3.6","8.3","19.9","32.1"
"Western Buffer","WM1","1988-04-22","1","Middle Water","0.9","1","0.05","0.58","0.035","0.013","0.1","0.4","90","6.7","70","N/A","8.3","19.9","33.5"
"Western Buffer","WM1","1988-04-22","1","Bottom Water","0.7","0.5","0.04","0.61","0.046","0.013","0.09","0.6","N/A","N/A","360","4.2","8.3","N/A","N/A"
"Western Buffer","WM1","1988-05-23","1","Surface Water","0.3","1.5","0.03","0.75","0.041","0.016","0.24","2.5","83","5.7","N/A","3","8.2","25.9","28.8"
"Western Buffer","WM1","1988-05-23","1","Middle Water","0.3","4","0.02","0.47","0.005","0.005","0.02","0.6","75","5.1","10","5.9","8.2","24.9","33.6"
"Western Buffer","WM1","1988-05-23","1","Bottom Water","0.2","3","0.03","0.44","0.009","<0.005","0.02","0.6","75","5.1","N/A","7.2","8.2","24.7","33.8"
"Western Buffer","WM1","1988-06-23","1","Surface Water","0.9","1.5","0.02","0.62","0.007","0.011","0.26","5.9","89","6","60","4","8.4","28.7","24"
"Western Buffer","WM1","1988-06-23","1","Middle Water","0.2","3.5","<0.02","0.41","0.007","0.005","0.1","2.5","62","4.2","150","5.2","8.2","25.2","34.1"
"Western Buffer","WM1","1988-06-23","1","Bottom Water","0.2","3","0.02","0.32","0.007","<0.005","0.03","1.3","N/A","N/A","230","6.9","8.2","N/A","N/A"
"Western Buffer","WM1","1988-07-12","1","Surface Water","1.6","4","0.06","0.54","0.061","<0.005","0.15","11","119","8","10","3.9","8.1","27.3","25.5"
"Western Buffer","WM1","1988-07-12","1","Middle Water","1.6","3.5","0.03","0.49","0.053","0.005","0.12","15","65","4.6","480","4.9","8.2","22.9","34.2"
"Western Buffer","WM1","1988-07-12","1","Bottom Water","0.3","5.5","0.02","0.35","0.037","0.009","0.09","0.4","N/A","N/A","300","7","8","N/A","N/A"
"Western Buffer","WM1","1988-08-18","1","Surface Water","0.5","3","0.02","0.78","0.056","0.005","0.28","1.1","79","5.5","480","4.1","8.3","24.7","26.1"
"Western Buffer","WM1","1988-08-18","1","Middle Water","0.6","1.5","0.07","0.69","0.042","0.011","0.26","1.8","62","4.4","430","4.2","8.3","22.1","34.2"
"Western Buffer","WM1","1988-08-18","1","Bottom Water","N/A","2.5","0.03","0.75","0.034","0.013","0.23","0.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Western Buffer","WM1","1988-09-16","1","Surface Water","1.4","7","0.02","0.4","0.023","<0.005","0.12","5.7","97","6.6","190","3.5","8.3","26.2","28.6"
"Western Buffer","WM1","1988-09-16","1","Middle Water","0.2","4.5","0.03","0.29","0.031","0.006","0.12","1.3","51","3.6","40","6.5","8.2","23.5","32.8"
"Western Buffer","WM1","1988-09-16","1","Bottom Water","0.6","12","0.04","0.29","0.033","0.01","0.12","1.3","41","2.9","20","7.5","8.1","22.3","34.1"
"Western Buffer","WM1","1988-10-21","1","Surface Water","N/A","3.5","0.07","0.55","0.26","0.04","0.34","0.6","62","4.2","160","6.7","8.3","25.4","32.3"
"Western Buffer","WM1","1988-10-21","1","Middle Water","N/A","2.5","0.05","0.51","0.21","0.03","0.29","1","74","5","280","5.5","8.3","25.1","32.4"
"Western Buffer","WM1","1988-10-21","1","Bottom Water","N/A","2.5","0.04","0.46","0.18","0.029","0.26","0.2","N/A","N/A","200","6.1","8.3","N/A","N/A"
"Western Buffer","WM1","1988-11-21","1","Surface Water","0.1","5","0.02","0.6","0.01","0.017","0.14","0.8","87","6.4","50","8.5","8.3","21.3","31.4"
"Western Buffer","WM1","1988-11-21","1","Middle Water","<0.1","12","0.02","0.3","0.02","0.018","0.16","0.6","86","6.3","400","13","8.3","21","31.5"
"Western Buffer","WM1","1988-11-21","1","Bottom Water","<0.1","10","0.02","0.42","0.024","0.019","0.16","0.8","87","6.4","480","16.5","8.3","21","31.5"
"Western Buffer","WM1","1988-12-16","1","Surface Water","0.2","6.5","0.04","0.46","0.076","0.021","0.13","0.8","88","6.8","130","6","8.3","19","N/A"
"Western Buffer","WM1","1988-12-16","1","Middle Water","0.2","5.5","0.04","0.42","0.064","0.018","0.11","0.8","87","6.7","250","8.5","8.3","18.8","N/A"
"Western Buffer","WM1","1988-12-16","1","Bottom Water","0.3","7","0.06","0.44","0.084","0.017","0.14","0.6","88","6.8","240","8","8.3","18.8","N/A"
"Western Buffer","WM1","1989-01-16","1","Surface Water","N/A","2","0.02","0.25","0.016","0.007","0.09","0.2","99","8","60","3.2","8.5","16.6","32"
"Western Buffer","WM1","1989-01-16","1","Middle Water","N/A","1.5","0.02","0.21","0.018","0.011","0.09","0.2","99","7.9","320","3","8.5","16.5","32"
"Western Buffer","WM1","1989-01-16","1","Bottom Water","N/A","2","0.02","0.23","0.016","0.006","0.09","0.2","97","7.8","140","2.5","8.5","16.6","32.1"
"Western Buffer","WM1","1989-02-21","1","Surface Water","0.7","4","0.05","0.38","0.081","0.025","0.18","1","90","7.2","150","9.5","8.2","16.9","31.9"
"Western Buffer","WM1","1989-02-21","1","Middle Water","0.7","2","0.04","0.41","0.069","0.02","0.17","1","92","7.4","210","5.5","8.2","16.5","31.9"
"Western Buffer","WM1","1989-02-21","1","Bottom Water","0.7","3","0.03","0.32","0.056","0.026","0.16","1","94","7.6","50","8","8.2","16.5","32.2"
"Western Buffer","WM1","1989-03-31","1","Surface Water","0.8","2.5","0.07","0.29","0.067","0.008","0.11","4.3","96","7.6","10","4.4","8.3","17.3","33.1"
"Western Buffer","WM1","1989-03-31","1","Middle Water","0.4","4","0.06","0.32","0.071","0.01","0.11","4.5","96","7.8","10","4.5","8.3","16.7","33.3"
"Western Buffer","WM1","1989-03-31","1","Bottom Water","0.2","3","0.04","0.31","0.073","0.007","0.11","0.3","95","7.7","10","4.4","8.3","16.6","33.2"
"Western Buffer","WM1","1989-04-21","1","Surface Water","0.7","1","0.03","0.28","0.091","0.02","0.18","1","95","6.8","1","6.6","8.2","22.1","31"
"Western Buffer","WM1","1989-04-21","1","Middle Water","0.4","2","0.05","0.27","0.09","0.028","0.14","0.8","94","6.9","320","6.8","8.3","22.1","32.8"
"Western Buffer","WM1","1989-04-21","1","Bottom Water","0.4","1","0.03","0.28","0.042","0.01","0.07","0.7","96","7.1","100","6.5","8.3","20.6","33.1"
"Western Buffer","WM1","1989-05-19","1","Surface Water","0.6","4","0.02","0.54","0.18","0.018","0.29","4.1","71","4.9","1500","6","8.2","24.1","32.1"
"Western Buffer","WM1","1989-05-19","1","Middle Water","0.5","3.5","0.02","0.4","0.16","0.018","0.24","2.7","86","6.1","910","6","8.3","23.9","32.7"
"Western Buffer","WM1","1989-05-19","1","Bottom Water","0.3","1.5","0.03","0.48","0.053","0.01","0.08","1.7","85","6","200","5","8.3","23.6","33.3"
"Western Buffer","WM1","1989-06-16","1","Surface Water","0.7","3.5","<0.02","0.36","0.027","<0.005","0.16","16","118","7.9","20","3.6","8.9","26.2","19"
"Western Buffer","WM1","1989-06-16","1","Middle Water","0.6","1.5","0.02","0.27","0.016","<0.005","0.07","10","92","5.8","340","4.2","8.5","24.7","28.6"
"Western Buffer","WM1","1989-06-16","1","Bottom Water","0.5","<0.5","0.04","0.16","0.024","<0.005","0.07","7.4","77","5","80","4.2","8.5","24.1","30.5"
"Western Buffer","WM1","1989-07-21","1","Surface Water","0.6","3","0.06","0.59","0.069","0.023","0.19","3.3","79","5.4","1300","6.4","8.6","26.2","30.4"
"Western Buffer","WM1","1989-07-21","1","Middle Water","0.6","3","0.04","0.56","0.051","0.017","0.15","4.8","80","5.4","140","6.9","8.7","26","31.5"
"Western Buffer","WM1","1989-07-21","1","Bottom Water","0.5","6.5","0.04","0.51","0.036","0.012","0.1","2.6","79","5.4","280","13","8.7","25.9","31.6"
"Western Buffer","WM1","1989-08-14","1","Surface Water","1.6","3","0.03","0.32","0.012","<0.005","0.04","9.7","101","7","1","3.4","8.9","27","28.3"
"Western Buffer","WM1","1989-08-14","1","Middle Water","0.8","8.5","0.03","0.5","0.022","0.006","0.07","3.4","63","4.2","20","15","8.8","25.8","29.6"
"Western Buffer","WM1","1989-08-14","1","Bottom Water","1","6","0.04","0.41","0.017","0.017","0.15","2.2","23","1.6","210","4.2","8.6","22.8","33.7"
"Western Buffer","WM1","1989-09-11","1","Surface Water","1.2","3","0.02","0.52","0.016","<0.005","0.06","9.8","88","5.8","20","3.7","8.5","28.4","30.1"
