Zone,Parameter1,Parameter2,Correlation,Abs_Correlation,Strength
1,5-day Biochemical Oxygen Demand (mg/L),Suspended Solids (mg/L),0.20862134855532058,0.20862134855532058,Weak
1,5-day Biochemical Oxygen Demand (mg/L),Total Phosphorus (mg/L),0.3563542497545069,0.3563542497545069,Weak
1,5-day Biochemical Oxygen Demand (mg/L),Total Nitrogen (mg/L),0.40385571671562576,0.40385571671562576,Moderate
1,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),0.11220033917809437,0.11220033917809437,Very Weak
1,5-day Biochemical Oxygen Demand (mg/L),Orthophosphate Phosphorus (mg/L),0.1334291504082995,0.1334291504082995,Very Weak
1,5-day Biochemical Oxygen Demand (mg/L),Total Inorganic Nitrogen (mg/L),0.04832402876561397,0.04832402876561397,Very Weak
1,5-day Biochemical Oxygen Demand (mg/L),Chlorophyll-a (μg/L),0.6527737998926594,0.6527737998926594,Strong
1,5-day Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (%saturation),0.49865445417294957,0.49865445417294957,Moderate
1,5-day Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),0.5069603421792466,0.5069603421792466,Moderate
1,5-day Biochemical Oxygen Demand (mg/L),E. coli (cfu/100mL),-0.004229975250496952,0.004229975250496952,Very Weak
1,5-day Biochemical Oxygen Demand (mg/L),Turbidity (NTU),-0.0157360020931018,0.0157360020931018,Very Weak
1,5-day Biochemical Oxygen Demand (mg/L),pH,0.3979630787231645,0.3979630787231645,Weak
1,5-day Biochemical Oxygen Demand (mg/L),Temperature (°C),-0.03568969711055802,0.03568969711055802,Very Weak
1,5-day Biochemical Oxygen Demand (mg/L),Salinity (psu),-0.05722141375781841,0.05722141375781841,Very Weak
1,Suspended Solids (mg/L),Total Phosphorus (mg/L),0.2715452151873885,0.2715452151873885,Weak
1,Suspended Solids (mg/L),Total Nitrogen (mg/L),0.3613238623962999,0.3613238623962999,Weak
1,Suspended Solids (mg/L),Ammonia Nitrogen (mg/L),0.17376021203909045,0.17376021203909045,Very Weak
1,Suspended Solids (mg/L),Orthophosphate Phosphorus (mg/L),0.05416687207223961,0.05416687207223961,Very Weak
1,Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),0.13904350084146153,0.13904350084146153,Very Weak
1,Suspended Solids (mg/L),Chlorophyll-a (μg/L),0.23156828871771143,0.23156828871771143,Weak
1,Suspended Solids (mg/L),Dissolved Oxygen (%saturation),0.07617166057023181,0.07617166057023181,Very Weak
1,Suspended Solids (mg/L),Dissolved Oxygen (mg/L),0.09235663777889015,0.09235663777889015,Very Weak
1,Suspended Solids (mg/L),E. coli (cfu/100mL),0.0646813712805413,0.0646813712805413,Very Weak
1,Suspended Solids (mg/L),Turbidity (NTU),0.11780063307302485,0.11780063307302485,Very Weak
1,Suspended Solids (mg/L),pH,-0.021493495382670973,0.021493495382670973,Very Weak
1,Suspended Solids (mg/L),Temperature (°C),-0.04560973569652225,0.04560973569652225,Very Weak
1,Suspended Solids (mg/L),Salinity (psu),-0.06869319573303563,0.06869319573303563,Very Weak
1,Total Phosphorus (mg/L),Total Nitrogen (mg/L),0.6211227522270295,0.6211227522270295,Strong
1,Total Phosphorus (mg/L),Ammonia Nitrogen (mg/L),0.45510012983773546,0.45510012983773546,Moderate
1,Total Phosphorus (mg/L),Orthophosphate Phosphorus (mg/L),0.5048826287854083,0.5048826287854083,Moderate
1,Total Phosphorus (mg/L),Total Inorganic Nitrogen (mg/L),0.43445269280222304,0.43445269280222304,Moderate
1,Total Phosphorus (mg/L),Chlorophyll-a (μg/L),0.3329168548588194,0.3329168548588194,Weak
1,Total Phosphorus (mg/L),Dissolved Oxygen (%saturation),0.13617311512756916,0.13617311512756916,Very Weak
1,Total Phosphorus (mg/L),Dissolved Oxygen (mg/L),0.18953340890043313,0.18953340890043313,Very Weak
1,Total Phosphorus (mg/L),E. coli (cfu/100mL),0.053046896708622476,0.053046896708622476,Very Weak
1,Total Phosphorus (mg/L),Turbidity (NTU),0.008697303109896679,0.008697303109896679,Very Weak
1,Total Phosphorus (mg/L),pH,0.08183046055587258,0.08183046055587258,Very Weak
1,Total Phosphorus (mg/L),Temperature (°C),-0.16053623195439132,0.16053623195439132,Very Weak
1,Total Phosphorus (mg/L),Salinity (psu),0.03197939852645723,0.03197939852645723,Very Weak
1,Total Nitrogen (mg/L),Ammonia Nitrogen (mg/L),0.5411583189955249,0.5411583189955249,Moderate
1,Total Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),0.3374626115486079,0.3374626115486079,Weak
1,Total Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),0.5210647710217715,0.5210647710217715,Moderate
1,Total Nitrogen (mg/L),Chlorophyll-a (μg/L),0.39434585782825926,0.39434585782825926,Weak
1,Total Nitrogen (mg/L),Dissolved Oxygen (%saturation),0.13400863428121085,0.13400863428121085,Very Weak
1,Total Nitrogen (mg/L),Dissolved Oxygen (mg/L),0.1958592357459883,0.1958592357459883,Very Weak
1,Total Nitrogen (mg/L),E. coli (cfu/100mL),0.07022184743879403,0.07022184743879403,Very Weak
1,Total Nitrogen (mg/L),Turbidity (NTU),0.03726546293902725,0.03726546293902725,Very Weak
1,Total Nitrogen (mg/L),pH,0.025758242697157766,0.025758242697157766,Very Weak
1,Total Nitrogen (mg/L),Temperature (°C),-0.16460732481783505,0.16460732481783505,Very Weak
1,Total Nitrogen (mg/L),Salinity (psu),-0.07023953440824253,0.07023953440824253,Very Weak
1,Ammonia Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),0.535012380770358,0.535012380770358,Moderate
1,Ammonia Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),0.8692146501433318,0.8692146501433318,Very Strong
1,Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),0.07780548967204973,0.07780548967204973,Very Weak
1,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),-0.10592373559831028,0.10592373559831028,Very Weak
1,Ammonia Nitrogen (mg/L),Dissolved Oxygen (mg/L),-0.021438259147523196,0.021438259147523196,Very Weak
1,Ammonia Nitrogen (mg/L),E. coli (cfu/100mL),0.10736286578889795,0.10736286578889795,Very Weak
1,Ammonia Nitrogen (mg/L),Turbidity (NTU),0.015027914179784808,0.015027914179784808,Very Weak
1,Ammonia Nitrogen (mg/L),pH,-0.1421890274200794,0.1421890274200794,Very Weak
1,Ammonia Nitrogen (mg/L),Temperature (°C),-0.251515640864389,0.251515640864389,Weak
